author_name	author_id	loc_type	place	place_id	country	country_ISO	place_full	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Disraeli, Benjamin	Q82006	work location	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Tupper, Martin Farquhar	Q1237247	place of birth	Greater London	Q23306	United Kingdom	GBR	Greater London, United Kingdom	Greater London, England, GBR	Locality	Zone						England	United Kingdom	GBR	-0.10937999999993053	51.50052000000005	100.0	
Tupper, Martin Farquhar	Q1237247	place of death	Albury	Q4712853	United Kingdom	GBR	Albury, United Kingdom	Albury, East Hertfordshire, Hertfordshire, England, GBR	Locality	Village				East Hertfordshire	Hertfordshire	England	United Kingdom	GBR	0.08007368700003781	51.901832951000074	100.0	
Tupper, Martin Farquhar	Q1237247	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Tupper, Martin Farquhar	Q1237247	archives at	Thomas Fisher Rare Book Library	Q7789602	Canada	CAN	Thomas Fisher Rare Book Library, Canada	Fisher, MB, CAN	Locality	City				Fisher	Division No. 18	Manitoba	Canada	CAN	-97.66060749999997	51.03778464700008	74.25	
Reynolds, George	Q3102010	place of birth	Sandwich	Q26163	United Kingdom	GBR	Sandwich, United Kingdom	Sandwich, Dover, Kent, England, GBR	Locality	City				Dover	Kent	England	United Kingdom	GBR	1.3396740490000525	51.274886035000065	100.0	
Reynolds, George	Q3102010	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Brontë, Emily	Q80137	place of burial	St Michael and All Angels' Church, Haworth	Q7594842	United Kingdom	GBR	St Michael and All Angels' Church, Haworth, United Kingdom	St Michael & All Angels Church, West Lane, Haworth, Keighley, West Yorkshire, England, BD22 8, GBR	POI	Church	West Lane	West		Keighley	West Yorkshire	England	United Kingdom	GBR	-1.961659999999938	53.831990000000076	100.0	
Brontë, Emily	Q80137	place of birth	Thornton	Q2406502	United Kingdom	GBR	Thornton, United Kingdom	Thornton, Wyre, Lancashire, England, GBR	Locality	City				Wyre	Lancashire	England	United Kingdom	GBR	-3.0015993889999777	53.870323615000075	100.0	
Brontë, Emily	Q80137	place of birth	The Brontë Birthplace	Q17534538	United Kingdom	GBR	The Brontë Birthplace, United Kingdom	No Place, Durham, England, GBR	Locality	Village				No Place	Durham	England	United Kingdom	GBR	-1.66410319299996	54.87300390000007	76.24	
Brontë, Emily	Q80137	place of death	Haworth	Q384570	United Kingdom	GBR	Haworth, United Kingdom	Haworth, Bradford, West Yorkshire, England, GBR	Locality	Village				Bradford	West Yorkshire	England	United Kingdom	GBR	-1.9559950979999599	53.83153461900008	100.0	
Brontë, Emily	Q80137	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Brontë, Emily	Q80137	residence	City of Brussels	Q239	Belgium	BEL	City of Brussels, Belgium	City of Brussels, BEL	Locality	City				Brussel	Bruxelles-Capitale	Brussels Capital	Belgium	BEL	4.348780000000033	50.85045000000008	100.0	
Brontë, Emily	Q80137	residence	Haworth	Q384570	United Kingdom	GBR	Haworth, United Kingdom	Haworth, Bradford, West Yorkshire, England, GBR	Locality	Village				Bradford	West Yorkshire	England	United Kingdom	GBR	-1.9559950979999599	53.83153461900008	100.0	
Brontë, Emily	Q80137	residence	Thornton	Q2406502	United Kingdom	GBR	Thornton, United Kingdom	Thornton, Wyre, Lancashire, England, GBR	Locality	City				Wyre	Lancashire	England	United Kingdom	GBR	-3.0015993889999777	53.870323615000075	100.0	
Brontë, Emily	Q80137	work location	Halifax	Q826561	United Kingdom	GBR	Halifax, United Kingdom	Halifax, Calderdale, West Yorkshire, England, GBR	Locality	City				Calderdale	West Yorkshire	England	United Kingdom	GBR	-1.8601777129999277	53.722842402000026	100.0	
Brontë, Emily	Q80137	work location	Yorkshire	Q163	United Kingdom	GBR	Yorkshire, United Kingdom	Yorkshire, 27 New Street, Barnsley, South Yorkshire, England, S70 1, GBR	POI	Furniture Store	27 New Street	New	27	Barnsley	South Yorkshire	England	United Kingdom	GBR	-1.4794599999999605	53.55072000000007	100.0	
Aguilar, Grace	Q298152	place of burial	Neuer Jüdischer Friedhof (Eckenheimer Landstraße)	Q20827177	Germany	DEU	Neuer Jüdischer Friedhof (Eckenheimer Landstraße), Germany	Neuer Jüdischer Friedhof, Eckenheimer Landstraße 238, 60320, Frankfurt am Main, Eckenheim, Hessen, DEU	POI	Cemetery	Eckenheimer Landstraße 238	Eckenheimer	238	Frankfurt am Main	Frankfurt am Main	Hessen	Deutschland	DEU	8.685410000000047	50.139320000000055	100.0	
Aguilar, Grace	Q298152	place of burial	Frankfurt am Main	Q1794	Germany	DEU	Frankfurt am Main, Germany	Frankfurt am Main, Hessen, DEU	Locality	City				Frankfurt am Main	Frankfurt am Main	Hessen	Deutschland	DEU	8.683410000000038	50.11208000000005	100.0	
Aguilar, Grace	Q298152	place of birth	Hackney	Q58888182	United Kingdom	GBR	Hackney, United Kingdom	Hackney, Greater London, England, GBR	Locality	District				Hackney	Greater London	England	United Kingdom	GBR	-0.05533761199995979	51.54475492000006	100.0	
Aguilar, Grace	Q298152	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Aguilar, Grace	Q298152	place of death	Frankfurt am Main	Q1794	Germany	DEU	Frankfurt am Main, Germany	Frankfurt am Main, Hessen, DEU	Locality	City				Frankfurt am Main	Frankfurt am Main	Hessen	Deutschland	DEU	8.683410000000038	50.11208000000005	100.0	
Aguilar, Grace	Q298152	country of citizenship	British Empire	Q8680	Kingdom of England	GBR	British Empire, Kingdom of England	Kingdon Avenue, Prickwillow, Ely, Cambridgeshire, England, CB7 4, GBR	StreetName		Kingdon Avenue	Kingdon		Ely	Cambridgeshire	England	United Kingdom	GBR	0.3396125318171301	52.413785587337124	74.29	
Aguilar, Grace	Q298152	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Thackeray, William Makepeace	Q167768	place of burial	Kensal Green Cemetery	Q1574424	United Kingdom	GBR	Kensal Green Cemetery, United Kingdom	Kensal Green Cemetery, Harrow Road, London, England, NW10 5, GBR	POI	Cemetery	Harrow Road	Harrow		London	London	England	United Kingdom	GBR	-0.22571999999996706	51.530140000000074	100.0	
Thackeray, William Makepeace	Q167768	place of birth	Kolkata	Q1348	India	IND	Kolkata, India	Kolkata, West Bengal, IND	Locality	City				Kolkata	Kolkata	West Bengal	India	IND	88.37133000000006	22.57059000000004	100.0	
Thackeray, William Makepeace	Q167768	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Thackeray, William Makepeace	Q167768	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Thackeray, William Makepeace	Q167768	archives at	Beinecke Rare Book & Manuscript Library	Q814779	United States of America	USA	Beinecke Rare Book & Manuscript Library, United States of America	Beinecke Rare Book and Manuscript Library, Town of New Haven, CT, USA	POI	Library				Town of New Haven	New Haven County	Connecticut	United States	USA	-72.92704999999995	41.31149000000005	100.0	
Thackeray, William Makepeace	Q167768	archives at	Leeds University Library	Q24568958	United Kingdom	GBR	Leeds University Library, United Kingdom	Library, Woodhouse Lane, University District, Leeds, West Yorkshire, England, LS2 3, GBR	POI	ATM	Woodhouse Lane	Woodhouse		Leeds	West Yorkshire	England	United Kingdom	GBR	-1.5515499999999633	53.807150000000036	90.8	
Dickens, Charles	Q5686	place of burial	Westminster Abbey	Q5933	United Kingdom	GBR	Westminster Abbey, United Kingdom	Westminster Abbey, Westminster Abbey, Broad Sanctuary, London, England, SW1P 3, GBR	POI	Historical Monument	Westminster Abbey, Broad Sanctuary	Broad Sanctuary		London	London	England	United Kingdom	GBR	-0.12733999999994694	51.49929000000003	100.0	
Dickens, Charles	Q5686	place of birth	Landport	Q1803681	United Kingdom	GBR	Landport, United Kingdom	Landport, Lewes, East Sussex, England, GBR	Locality	District				Lewes	East Sussex	England	United Kingdom	GBR	-0.0008026719999634224	50.881383206000066	100.0	
Dickens, Charles	Q5686	place of birth	Portsmouth	Q72259	United Kingdom	GBR	Portsmouth, United Kingdom	Portsmouth, Hampshire, England, GBR	Locality	City				Portsmouth	Hampshire	England	United Kingdom	GBR	-1.0911566279999647	50.796839101000046	100.0	
Dickens, Charles	Q5686	place of death	Higham	Q2336499	United Kingdom	GBR	Higham, United Kingdom	Higham, Babergh, Suffolk, England, GBR	Locality	Village				Babergh	Suffolk	England	United Kingdom	GBR	0.9606226970000762	51.98174725600006	100.0	
Dickens, Charles	Q5686	place of death	Gads Hill Place	Q5516441	United Kingdom	GBR	Gads Hill Place, United Kingdom	Gadshill, Gravesham, Kent, England, GBR	Locality	Village				Gravesham	Kent	England	United Kingdom	GBR	0.46013478100002203	51.409689368000045	91.36	
Dickens, Charles	Q5686	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Dickens, Charles	Q5686	archives at	Louis Round Wilson Library	Q14708020	United States of America	USA	Louis Round Wilson Library, United States of America	Library, South Park Twp, PA, USA	Locality	Village				South Park Twp	Allegheny County	Pennsylvania	United States	USA	-80.01152999999994	40.28776000000005	85.45	
Dickens, Charles	Q5686	archives at	Leeds University Library	Q24568958	United Kingdom	GBR	Leeds University Library, United Kingdom	Library, Woodhouse Lane, University District, Leeds, West Yorkshire, England, LS2 3, GBR	POI	ATM	Woodhouse Lane	Woodhouse		Leeds	West Yorkshire	England	United Kingdom	GBR	-1.5515499999999633	53.807150000000036	90.8	
Dickens, Charles	Q5686	residence	Charles Dickens Museum	Q2723633	United Kingdom	GBR	Charles Dickens Museum, United Kingdom	Charles Dickens Museum, 48 Doughty Street, London, England, WC1N 2, GBR	POI	History Museum	48 Doughty Street	Doughty	48	London	London	England	United Kingdom	GBR	-0.11640999999997348	51.52348000000006	100.0	
Dickens, Charles	Q5686	residence	Tavistock House	Q7689129	United Kingdom	GBR	Tavistock House, United Kingdom	Tavistock, West Devon, Devon, England, GBR	Locality	City				West Devon	Devon	England	United Kingdom	GBR	-4.144858929999941	50.55012579100003	91.67	
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	Chelsea	Q743535	United Kingdom	GBR	Chelsea, United Kingdom	Chelsea, Kensington and Chelsea, Greater London, England, GBR	Locality	Neighborhood				Kensington and Chelsea	Greater London	England	United Kingdom	GBR	-0.16935999999992646	51.487550000000056	100.0	
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	England	Q21	United Kingdom	GBR	England, United Kingdom	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100.0	
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	Cheyne Walk	Q5094624	United Kingdom	GBR	Cheyne Walk, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	82.61	
Gaskell, Elizabeth Cleghorn	Q229226	place of death	England	Q21	United Kingdom	GBR	England, United Kingdom	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100.0	
Gaskell, Elizabeth Cleghorn	Q229226	place of death	Holybourne House	Q26386509	United Kingdom	GBR	Holybourne House, United Kingdom	Homebourne House, Belle Vue Road, Paignton, Devon, England, TQ4 6, GBR	POI	Medical Clinic	Belle Vue Road	Belle Vue		Paignton	Devon	England	United Kingdom	GBR	-3.5609199999999532	50.43226000000004	94.67	
Gaskell, Elizabeth Cleghorn	Q229226	place of death	Alton	Q443840	United Kingdom	GBR	Alton, United Kingdom	Alton, East Hampshire, Hampshire, England, GBR	Locality	City				East Hampshire	Hampshire	England	United Kingdom	GBR	-0.9758222829999568	51.148634522000066	100.0	
Gaskell, Elizabeth Cleghorn	Q229226	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Gaskell, Elizabeth Cleghorn	Q229226	archives at	Leeds University Library	Q24568958	United Kingdom	GBR	Leeds University Library, United Kingdom	Library, Woodhouse Lane, University District, Leeds, West Yorkshire, England, LS2 3, GBR	POI	ATM	Woodhouse Lane	Woodhouse		Leeds	West Yorkshire	England	United Kingdom	GBR	-1.5515499999999633	53.807150000000036	90.8	
Skene, Felicia	Q1403036	place of birth	Aix-en-Provence	Q47465	France	FRA	Aix-en-Provence, France	Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Aix-en-Provence	Bouches-du-Rhône	Provence-Alpes-Côte d'Azur	France	FRA	5.447376271000053	43.52985024000003	100.0	
Skene, Felicia	Q1403036	place of death	Oxford	Q34217	United Kingdom	GBR	Oxford, United Kingdom	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100.0	
Skene, Felicia	Q1403036	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Ainsworth, William Harrison	Q518359	place of burial	Kensal Green Cemetery	Q1574424	United Kingdom	GBR	Kensal Green Cemetery, United Kingdom	Kensal Green Cemetery, Harrow Road, London, England, NW10 5, GBR	POI	Cemetery	Harrow Road	Harrow		London	London	England	United Kingdom	GBR	-0.22571999999996706	51.530140000000074	100.0	
Ainsworth, William Harrison	Q518359	place of birth	Manchester	Q18125	United Kingdom	GBR	Manchester, United Kingdom	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100.0	
Ainsworth, William Harrison	Q518359	place of death	Reigate	Q1018418	United Kingdom	GBR	Reigate, United Kingdom	Reigate, Reigate and Banstead, Surrey, England, GBR	Locality	City				Reigate and Banstead	Surrey	England	United Kingdom	GBR	-0.20580008799993266	51.23767825200008	100.0	
Ainsworth, William Harrison	Q518359	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Kingsley, Charles	Q353238	place of burial	Beaulieu Abbey	Q751667	United Kingdom	GBR	Beaulieu Abbey, United Kingdom	Beaulieu Abbey, Beaulieu, New Forest, Hampshire, England, GBR	POI	Ruin				New Forest	Hampshire	England	United Kingdom	GBR	-1.4501399999999762	50.821840000000066	100.0	
Kingsley, Charles	Q353238	place of birth	Devon	Q23156	United Kingdom	GBR	Devon, United Kingdom	Devon, England, GBR	Locality	Zone						England	United Kingdom	GBR	-3.810269999999946	50.75120000000004	100.0	
Kingsley, Charles	Q353238	place of death	Devon	Q23156	United Kingdom	GBR	Devon, United Kingdom	Devon, England, GBR	Locality	Zone						England	United Kingdom	GBR	-3.810269999999946	50.75120000000004	100.0	
Kingsley, Charles	Q353238	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Kingsley, Charles	Q353238	archives at	Rare Books and Special Collections	Q62535993	Canada	CAN	Rare Books and Special Collections, Canada	Canada	Locality	Country							Canada	CAN	-113.64257999999995	60.108670000000075	70.0	
Yonge, Charlotte Mary	Q433098	place of birth	Otterbourne	Q1952484	United Kingdom	GBR	Otterbourne, United Kingdom	Otterbourne, Winchester, Hampshire, England, GBR	Locality	Village				Winchester	Hampshire	England	United Kingdom	GBR	-1.3433948799999484	51.00759241000003	100.0	
Yonge, Charlotte Mary	Q433098	place of death	Otterbourne	Q1952484	United Kingdom	GBR	Otterbourne, United Kingdom	Otterbourne, Winchester, Hampshire, England, GBR	Locality	Village				Winchester	Hampshire	England	United Kingdom	GBR	-1.3433948799999484	51.00759241000003	100.0	
Yonge, Charlotte Mary	Q433098	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Trollope, Anthony	Q318399	place of burial	Kensal Green Cemetery	Q1574424	United Kingdom	GBR	Kensal Green Cemetery, United Kingdom	Kensal Green Cemetery, Harrow Road, London, England, NW10 5, GBR	POI	Cemetery	Harrow Road	Harrow		London	London	England	United Kingdom	GBR	-0.22571999999996706	51.530140000000074	100.0	
Trollope, Anthony	Q318399	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Trollope, Anthony	Q318399	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Trollope, Anthony	Q318399	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Trollope, Anthony	Q318399	archives at	Beinecke Rare Book & Manuscript Library	Q814779	United States of America	USA	Beinecke Rare Book & Manuscript Library, United States of America	Beinecke Rare Book and Manuscript Library, Town of New Haven, CT, USA	POI	Library				Town of New Haven	New Haven County	Connecticut	United States	USA	-72.92704999999995	41.31149000000005	100.0	
Kavanagh, Julia	Q461310	place of birth	Thurles	Q383188	Republic of Ireland	IRL	Thurles, Republic of Ireland	Thurles, Tipperary, IRL	Locality	City				Thurles		Tipperary	Ireland	IRL	-7.813419999999951	52.678810000000055	100.0	
Kavanagh, Julia	Q461310	place of death	Nice	Q33959	France	FRA	Nice, France	Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Nice	Alpes-Maritimes	Provence-Alpes-Côte d'Azur	France	FRA	7.271454888000051	43.69597806500008	100.0	
Kavanagh, Julia	Q461310	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Brontë, Charlotte	Q127332	place of burial	St Michael and All Angels' Church, Haworth	Q7594842	United Kingdom	GBR	St Michael and All Angels' Church, Haworth, United Kingdom	St Michael & All Angels Church, West Lane, Haworth, Keighley, West Yorkshire, England, BD22 8, GBR	POI	Church	West Lane	West		Keighley	West Yorkshire	England	United Kingdom	GBR	-1.961659999999938	53.831990000000076	100.0	
Brontë, Charlotte	Q127332	place of birth	Thornton	Q2406502	United Kingdom	GBR	Thornton, United Kingdom	Thornton, Wyre, Lancashire, England, GBR	Locality	City				Wyre	Lancashire	England	United Kingdom	GBR	-3.0015993889999777	53.870323615000075	100.0	
Brontë, Charlotte	Q127332	place of death	Haworth	Q384570	United Kingdom	GBR	Haworth, United Kingdom	Haworth, Bradford, West Yorkshire, England, GBR	Locality	Village				Bradford	West Yorkshire	England	United Kingdom	GBR	-1.9559950979999599	53.83153461900008	100.0	
Brontë, Charlotte	Q127332	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Brontë, Charlotte	Q127332	residence	Haworth	Q384570	United Kingdom	GBR	Haworth, United Kingdom	Haworth, Bradford, West Yorkshire, England, GBR	Locality	Village				Bradford	West Yorkshire	England	United Kingdom	GBR	-1.9559950979999599	53.83153461900008	100.0	
Brontë, Charlotte	Q127332	residence	City of Brussels	Q239	Belgium	BEL	City of Brussels, Belgium	City of Brussels, BEL	Locality	City				Brussel	Bruxelles-Capitale	Brussels Capital	Belgium	BEL	4.348780000000033	50.85045000000008	100.0	
Brontë, Charlotte	Q127332	work location	Yorkshire	Q163	United Kingdom	GBR	Yorkshire, United Kingdom	Yorkshire, 27 New Street, Barnsley, South Yorkshire, England, S70 1, GBR	POI	Furniture Store	27 New Street	New	27	Barnsley	South Yorkshire	England	United Kingdom	GBR	-1.4794599999999605	53.55072000000007	100.0	
Clive, Caroline Wigley	Q5045022	place of birth	Brompton	Q2926028	United Kingdom	GBR	Brompton, United Kingdom	Brompton, Kent, England, GBR	Locality	District				Brompton	Kent	England	United Kingdom	GBR	0.5362992690000397	51.391561558000035	100.0	
Clive, Caroline Wigley	Q5045022	place of death	Whitfield	Q355565	Great Britain	GBR	Whitfield, Great Britain	Whitfield, High Peak, Derbyshire, England, GBR	Locality	District				High Peak	Derbyshire	England	United Kingdom	GBR	-1.9479640589999576	53.43875826900006	100.0	
Clive, Caroline Wigley	Q5045022	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
Eliot, George [pseud.]	Q131333	place of burial	Highgate Cemetery	Q533697	United Kingdom	GBR	Highgate Cemetery, United Kingdom	Highgate Cemetery, Swains Lane, London, England, N6 6, GBR	POI	Cemetery	Swains Lane	Swains		London	London	England	United Kingdom	GBR	-0.14653999999995904	51.566880000000026	100.0	
