Location,ent_type,context,p_no
West,LOC,"in a phantom vessel; and sail away to the West, to the Isles of the Blessed. At night",510
Isles,LOC,"; and sail away to the West, to the Isles of the Blessed. At night a dark ship with",510
Italy,GPE,"way without disaster to Rhegium, and thence coasted up Italy to the port of Rome. She had gained on",511
Rome,GPE,", and thence coasted up Italy to the port of Rome. She had gained on the Imperial vessel, that",511
Neapolis,GPE,"scattered fleet. Nero would not land until he reached Neapolis, and then not till all his wreaths and golden",511
Peninsula,LOC,"he did so to commence a triumphal progress through the Peninsula, the like of which was never seen before nor",512
Gaul,GPE,"into his hands announcing the revolt of the legions in Gaul and the proclamation of Galba, at that time Governor",513
Spain,GPE,"the proclamation of Galba, at that time Governor of Spain.",513
Rome,GPE,So he started for Rome.,516
Rome,GPE,"He entered Rome in this leisurely manner, in a triumphal chariot,",518
Rome,GPE,"the Sen ate expected that now the prince was in Rome, he would attend to business, it was vastly",519
Rome,GPE,Gabii lay eleven miles from Rome at the foot of one of the spurs of the,522
Libitina,LOC,"mourners, hired for the occasion from the temple of Libitina, the priests of which were the licensed undertakers.",531
the River of Death,LOC,"coin, placed there as payment of the toll across the River of Death in the ferry-boat of Charon. On each",534
Longa Duilia,GPE,"Longa Duilia and Domitia Longina walked in their proper place, with",536
Gabii,GPE,"The procession advanced into the marketplace of Gabii, where Lucius Lamia ascended the rostrum to pronounce the",537
Duilia,GPE,"The torches were now put into the hands of Duilia and Domitia, and with averted faces they applied the",545
Duilia,GPE,"Duilia, in tragic woe, disengaged a mass of artificial",547
Rome,GPE,In Rome the rabble was kept in good humor by the Cæsars,559
Egypt,GPE,", contrary winds had delayed the corn-ships from Egypt, and the amount of bread distributed was accordingly curtailed",560
Rome,GPE,"Next day all Rome heard that Galba, at the head of the legions",561
Spain,GPE,"that Galba, at the head of the legions of Spain and Gaul, was marching into Italy, and that",561
Gaul,GPE,", at the head of the legions of Spain and Gaul, was marching into Italy, and that none of",561
Italy,GPE,"the legions of Spain and Gaul, was marching into Italy, and that none of the troops of Nero sent",561
Alps,LOC,troops of Nero sent to guard the frontier of the Alps would draw a sword in his defence.,561
Ostia,GPE,"seriously alarmed, bade his household guard conduct him to Ostia, where he would mount the vessel that had discharged",562
Egypt,GPE,"had discharged its load of sand, and escape to Egypt. They contemptuously refused, and disbanded. Then,",562
Rome,GPE,"man, a stranger, a Greek, and all Rome, all Italy, the entire world, have risen",570
Italy,GPE,"stranger, a Greek, and all Rome, all Italy, the entire world, have risen against you.",570
Egypt,GPE,. I will ask to be given the government of Egypt. That at least will not be refused me.,583
Armenia,GPE,with Tiridates. I restored to him the crown of Armenia. He will not be ungrateful.”,585
Italy,GPE,", it will not be possible for you to leave Italy.”",586
St. Angelo,GPE,"to the Ælian Bridge, where stands now that of St. Angelo, crossed it and began to traverse the Campus Martius",599
Rome,GPE,vehicle for Push. It really is vexatious that in Rome there should just now be such broils and effervescence of,656
Gabii,GPE,"throats, that I, poor thing, here in Gabii run a chance of being forgotten. It is too",656
Longa Duilia,GPE,"After a pause Longa Duilia said, as she signed to Lucilla the slave to",667
Rome,GPE,"“Poor simple man, he fought the enemies of Rome and defeated them, because it was, as he",671
Rome,GPE,"he said, his duty to his country, to Rome, to do so. But, by Ops and",671
Antioch,GPE,"certainty, had your dear father listened to me at Antioch. But he had a head.” She touched",676
Euphrosyne,GPE,"“And, Euphrosyne, go, send the Chaldæan to me in the",695
Sabine Mountains,LOC,"lake, and beyond the beautiful ridges of the limestone Sabine Mountains. The air was musical with the hum of bees",699
Euphrosyne,GPE,"at the end, under the guidance of the girl Euphrosyne.",701
Senecio,GPE,"was to be found in Push. If I asked Senecio, he would say in Equanimity. Where say you",703
Senecio,GPE,", you arrive by another method at that Apathy which Senecio the Stoic advocates. I grant you give a reason",710
Rome,GPE,to you that Lucius Ælius Lamia hath ridden over from Rome.”,714
Rome,GPE,I do not know; he quitted us on reaching Rome.”,716
Euphrosyne,GPE,"“Stay, Euphrosyne. Thine is a cheerful spirit. Where is felicity",717
Euphrosyne,GPE,"when, where, how? Look at me, Euphrosyne. When I was a little child here, we",721
Euphrosyne,GPE,"went to the hammer. It seems to me, Euphrosyne, as if this whole world were the estate of",721
Longa Duilia,GPE,"that was a year of blank and of unhappiness to Longa Duilia, in which she found no consolation save in badgering",729
Rome,GPE,"“It is well that she should be away from Rome, my Domitia. I have told her as much",732
Gabii,GPE,"her as much. On no account must you leave Gabii. Rome is boiling over, and will scald many",732
Rome,GPE,"much. On no account must you leave Gabii. Rome is boiling over, and will scald many fingers.",732
Rome,GPE,general at the head of an army is marching upon Rome to snatch the purple for his own shoulders. Otho,732
Carinæ,GPE,Murders are frequent. Thus far your palace in the Carinæ is undisturbed.”,732
Rome,GPE,", and the Senate proclaims whomsoever they set up. Rome is dishonored in the face of the Barbarians.”",738
Senecio,GPE,"his treatment by Domitia. His sole satisfaction was that Senecio, the Stoic, was placed below him in her",749
East,LOC,"the destinies of men, and that in the far East, on the boundless plains of Mesopotamia, you and",751
Mesopotamia,LOC,"in the far East, on the boundless plains of Mesopotamia, you and your people have learned to read them",751
Helena,LOC,"The goddess has her chosen instrument, and such is Helena. Lady! Ishtar is the Truth, she has",754
Syria,GPE,"girl and Lucius Lamia had been so much together in Syria, that they had come to regard each other with",768
Rome,GPE,"Such had been the house of Corbulo, whether in Rome, or in Syria. He had been a strict",770
Syria,GPE,"house of Corbulo, whether in Rome, or in Syria. He had been a strict and honorable soldier,",770
the Empire of Rome,GPE,"“They say it signifies the Empire of Rome, and that the heads are the princes, and",780
Longa Duilia,GPE,"it had fallen into neglect, till the return of Longa Duilia from the East with the Chaldee Magus from Antioch.",783
East,LOC,"neglect, till the return of Longa Duilia from the East with the Chaldee Magus from Antioch. It was now",783
Antioch,GPE,"Longa Duilia from the East with the Chaldee Magus from Antioch. It was now fashionable to dabble in sorcery,",783
Antioch,GPE,"Longa had engaged the Magus when at Antioch, but when somewhat summarily sent to Europe by her",784
Europe,LOC,"when at Antioch, but when somewhat summarily sent to Europe by her husband, she had not taken her Chaldæan",784
Rome,GPE,", however, she had no wish to appear in Rome without him, she had laid it on her husband",784
Gabii,GPE,"On her arrival in the villa at Gabii, she had given up the temple of Isis to",785
Isis,GPE,"at Gabii, she had given up the temple of Isis to Elymas, and he had converted it into a",785
Elymas,GPE,", she had given up the temple of Isis to Elymas, and he had converted it into a place for",785
Helena,LOC,spirit remains attached only by a fibre. Such is Helena. Through her thou shalt see what thou desirest.,793
Helena,LOC,"the Eternal and Immortal Light pass to the soul of Helena, out of Infinite Altitude and Illimitable Space. She",795
Helena,LOC,"to the end.” She took the hand of Helena, into which some flexibility and warmth were returning.",831
Rome,GPE,stroking of your face like a cat!—is to go to Rome and see that the palace is made ready to receive,865
Rome,GPE,or the situation of Gabii does not suit her. Rome is an extraordinarily healthy place in winter. I myself,865
Antioch,GPE,"than I am there. I was pretty well at Antioch; there were military there, and I find the",865
Rome,GPE,should fold and unfold your hands. You go to Rome and take such of the family with you as are,865
Venus,LOC,"spring, indeed! Why, by the zone of Venus, I am not through my first summer yet.",871
Senecio,GPE,"Yes, of course it is so. Here comes Senecio; he waddles just like the Hindu nurse I saw",873
Antioch,GPE,"he waddles just like the Hindu nurse I saw at Antioch, laboring about with two fat babies.”",873
Rome,GPE,a thread in a rope. I am returning to Rome.”,875
Rome,GPE,"“To Rome, madam! I do not advise that. The",876
Carinæ,GPE,long as they do not invade the house in the Carinæ?”,877
Rome,GPE,". Why, there was Galba,—he had not been in Rome seven months before he was killed, and he did",880
the Flaminian Way,LOC,"over the bodies of seven thousand men, butchered on the Flaminian Way.”",880
the Flaminian Way,LOC,"I thank the Gods, my house is not on the Flaminian Way, nor is it in the Velabrum, nor the",881
Velabrum,GPE,"on the Flaminian Way, nor is it in the Velabrum, nor the Suburra, nor in the Forum Boarium",881
Carinæ,GPE,"Forum Boarium either. We happen to live in the Carinæ, and I conceive that there have been no massacres",881
Gabii,GPE,"“And here, in Gabii, down to the lizards—dead asleep. Give",883
Rome,GPE,"massacres rather than stagnation. I shall get back to Rome before the Ides of December, on account of my",883
East,LOC,"Cæsar Vitellius is men aced. I hear that the East has risen, and that Vespasian has been proclaimed in",884
Syria,GPE,"has risen, and that Vespasian has been proclaimed in Syria. The legions in Illyria have also declared for him",884
Illyria,LOC,Vespasian has been proclaimed in Syria. The legions in Illyria have also declared for him and are marching into Italy,884
Italy,GPE,"Illyria have also declared for him and are marching into Italy. Egypt has pronounced against Vitellius, and it is",884
Egypt,GPE,"also declared for him and are marching into Italy. Egypt has pronounced against Vitellius, and it is but seven",884
Senecio,GPE,"say?” exclaimed the lady. “My good Senecio, he is a sort of cousin, a country",885
Euphrosyne,GPE,"she holds converse with none, save her maid, Euphrosyne.”",888
Rome,GPE,there is nothing like push. I must go to Rome. Positively two years retirement for a widow is unreasonable,891
Rome,GPE,"is talk—nothing else. I must go to Rome. Flavius Sabinus is præfect of the city, and",891
præfect,GPE,". I must go to Rome. Flavius Sabinus is præfect of the city, and he is the elder brother",891
Rome,GPE,"not be able to breathe till I get back to Rome. By the way, draw me up on a",891
Tellus,LOC,! that is the dedication feast of the temple of Tellus in the Carinæ. There you have it! Devotion,891
Carinæ,GPE,the dedication feast of the temple of Tellus in the Carinæ. There you have it! Devotion to the gods,891
Carinæ,GPE,", and were installed in the family mansion in the Carinæ.",892
Rome,GPE,"it, this house had escaped in the conflagration of Rome under Nero. This, however, was a matter",893
Duilia,GPE,", however, was a matter of some regret to Duilia, who would have preferred to have had it burnt",893
Antioch,GPE,"been wrought at, or purchased at the bazaars of Antioch and Damascus.",894
Damascus,GPE,"at, or purchased at the bazaars of Antioch and Damascus.",894
Rome,GPE,"Longa Duilia, stepping forward to receive the Præfect of Rome, to her little supper.",905
Antioch,GPE,"You see, for some years I have been at Antioch, with my dearest husband, whose sword—that",908
Rome,GPE,", as I was saying, we have been from Rome so long, and since my return I have lived",908
Gabii,GPE,"emotion overcomes me. I would have buried myself at Gabii, clasping the sword to my wounded bosom for the",916
Duilia,GPE,"they set the example of lounging, others followed. Duilia, however, was a stickler in some things,",921
Russia,GPE,"A Roman dinner began, like one in Russia at the present day, with a gustus, a",925
Brussels,GPE,"and sauer-kraut, cabbage shredded in vinegar, Brussels sprouts boiled with saltpetre to enhance their green, turnips",927
Italy,GPE,"much relished, as it is to this day in Italy. Wild fowl was stuffed with garlic, mutton with",930
Longa Duilia,GPE,"the smallest degree unseemly was allowed in the house of Longa Duilia, at such entertainments.",933
præfect,GPE,"how to make herself agreeable. Flavius Sabinus, the præfect, was a great talker, and there was a",935
Duilia,GPE,"Duilia bowed, and the præfect, leaving his place,",942
præfect,GPE,"Duilia bowed, and the præfect, leaving his place, went to meet his nephew",942
Duilia,GPE,"“My dear child,” said Duilia, “I never did a better stroke of policy",947
Italy,GPE,"is most encouraging. Mucianus is on his way to Italy at the head of an army. Primus, with",947
Campania,GPE,"positively none who hold by Vitellius except his brother in Campania, and his German bodyguard. Domitia,” the",947
Saturnalia,GPE,"The time was now that of the Saturnalia, lasting seven days, beginning on the 17th December",950
Duilia,GPE,"the lectica (palanquin) with me,” said Duilia. “It will have quite a pathetic aspect—",952
Flavius Domitianus,LOC,"one to talk to. What do you think of Flavius Domitianus? A modest lad, to my mind.”",952
Rome,GPE,"The forum of Rome, that wondrous basin towered over on one side by",962
Esquiline Hills,GPE,"houses in the Suburra below the Quirinal, Viminal and Esquiline Hills, was itself crowded with temples and basilicas, yet",962
Summanus,GPE,"already at table. See that dear old doll, Summanus, without a head—you know it was struck",963
Pyrrhus,LOC,"it was struck off by lightning in the time of Pyrrhus. It was of clay, and rolled all the",963
Pagan Rome,GPE,Nothing so completely differentiates Christian worship from that of Pagan Rome as the congregational character of the former contrasted with the,971
Rome,GPE,of the latter. At the present day in Papal Rome the priests may be seen behind glass doors in little,971
Pagan Rome,GPE,"that they should assist. This is a legacy of Pagan Rome. The sacrifices, the services in the temples and",971
Consus,GPE,"for naught, for his part he trusted only in Consus, whose temple was in ruins, whose altar was",971
Jupiter,LOC,"who swept in a strong current towards the couch of Jupiter and of that of Venus. Another strong current,",971
Venus,LOC,"current towards the couch of Jupiter and of that of Venus. Another strong current, howling ‘Io Saturne!",971
Io,LOC,"that of Venus. Another strong current, howling ‘Io Saturne! Salve Mater Ops!’ made for the",971
Saturnalia,GPE,", careful only to sell their goods—for the Saturnalia was a period at which the children were regaled with",972
Jupiter Capitolinus,LOC,", to protect them from being trampled under foot. Jupiter Capitolinus had been injured and lost his nose.",979
Duilia,GPE,The litter of the lady Duilia and her daughter tossed like a boat in a whirlpool,982
Duilia,GPE,"“Save me! Me, also!” screamed Duilia, “I shall be thrown out, trodden under",985
Paris,GPE,“Open speedily—Paris!”,992
Paris,GPE,do no other. In this insula live the actor Paris and Glyceria. They were both slaves in your household,994
Glyceria,GPE,"other. In this insula live the actor Paris and Glyceria. They were both slaves in your household, but",994
East,LOC,", my late master, when he went to the East. They will place themselves at your service, and",994
Rome,GPE,"The house was one of those insulæ, islets of Rome in which great numbers of the lower classes were housed",995
Rome,GPE,might suppose possible. In the rain—and in Rome in winter it raineth almost every day—the balconies,998
Saturnalia,GPE,"they had gone out to see the commencement of the Saturnalia, and of women there were few compared to the",999
Paris,GPE,"“My husband, Paris, the actor, is now out; but he",1006
Paris,GPE,"“Oh, Paris! do you not observe?”",1033
Paris,GPE,"Eboracus explained the circumstances. Then Paris expressed his happiness, and the pride he felt in",1037
Paris,GPE,"When the slave had withdrawn, she addressed Paris and Glyceria.",1039
Glyceria,GPE,"When the slave had withdrawn, she addressed Paris and Glyceria.",1039
unlade,GPE,", and, stooping on one knee, began to unlade his bundle. He set out a number of terra",1041
Paris,GPE,"up one of the quaintest images, Domitia noticed that Paris laid hold of it, and pressed it to his",1042
Paris,GPE,to be true than men?—Yet see this actor—this Paris. By the Gods! Is Lamia like to be,1046
Paris,GPE,"fetches me water—that is Bibulus, and my Paris has bought him this little horseman—and Torquata,",1050
Dosithea,GPE,"of a cobbler, she sweeps the floor; and Dosithea, that is a good widow’s child; she",1050
Paris,GPE,"; but all the shopping is done for me by Paris, and I warrant you, lady, he is",1050
Paris,GPE,"Then Paris turned, and, putting his hand on his wife",1052
Paris,GPE,"“Hush, wife!” said Paris. “The lady desires rest. Keep silence.",1055
Paris,GPE,"a fish—the fish on it,” said Paris in a whisper. “It is for Luke,",1058
Saturnalia,GPE,"-naught had turned sulky, because it is the Saturnalia, when, said he, the mistress should do",1064
Paris,GPE,” And the lanes are clear of rabble. If Paris here will walk on one side of you and I,1064
Io,LOC,"wait, but not he, said he, “Io Saturne!””",1064
Paris,GPE,"Presently—“Stand aside!” said Paris, and there swept down the lane a number of",1070
Paris,GPE,"“Let us go on,” said Paris, and without further attempt at molestation from the revellers",1075
Longa Duilia,GPE,"On reaching the palace inhabited by Longa Duilia, a fresh difficulty arose. Eboracus knocked, but",1076
